범죄분류,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
절도,41293,15892,8324,9219,4877,6282,2342,583,41511,5278,5569,8108,5447,5228,8690,12483,3229
장물,411,461,67,107,32,39,16,2,306,20,18,26,191,20,110,105,3
사기,52904,19672,10959,12748,6809,6963,3345,790,56356,6087,7267,9542,8345,7008,11642,17845,3360
횡령,15932,3518,2161,2942,1558,1403,472,253,13417,1005,1149,1653,1080,1046,1612,2751,658
배임,1418,410,210,228,97,128,112,17,1166,123,142,234,160,170,223,336,63
손괴,11037,3720,2647,3470,1484,1476,885,170,14536,2053,1836,2420,1543,1817,2731,3509,1224
살인,147,64,48,35,12,22,16,6,186,33,37,50,25,38,51,67,21
강도,172,102,39,74,33,43,12,3,213,27,30,33,28,21,49,76,35
방화,221,87,71,80,35,39,25,3,300,55,45,86,55,76,79,86,15
성폭력,10149,2269,1169,2472,876,987,295,136,7140,757,864,1033,739,837,1069,1563,469
폭행,37696,10612,7087,12002,5054,5425,2321,297,42433,5099,4071,4996,4972,5317,5845,9681,2590
상해,6634,4690,3006,2322,1338,1282,958,166,9158,2485,1716,2509,1706,2266,3116,4952,1072
협박,3025,1046,715,955,376,526,249,52,4380,476,493,628,488,571,712,982,333
공갈,921,453,225,427,148,129,52,22,1228,129,140,170,131,141,265,335,65
약취와 유인,52,19,9,16,5,6,4,0,57,1,5,6,4,6,11,14,1
체포와 감금,317,90,81,238,46,52,18,6,383,54,67,77,64,52,77,81,25
"폭력행위등(손괴,강요,주거침입등)",183,49,43,68,14,20,6,1,195,32,33,47,20,33,37,49,13
"폭력행위등(단체등의구성, 활동)",5,16,2,10,7,1,2,0,31,8,12,3,27,9,1,3,3
통화,1150,76,41,152,27,98,10,9,761,117,85,108,34,19,45,45,21
유가증권·인지·우표,138,7,10,28,7,8,2,0,68,4,5,11,3,9,3,9,0
문서,3277,1028,704,834,403,511,207,50,3234,430,530,583,482,469,605,974,1048
인장,156,25,36,27,14,12,5,0,146,62,15,30,104,33,23,325,10
직무유기,257,73,39,54,77,73,20,12,252,46,37,49,30,70,88,117,22
직권남용,345,76,47,74,41,54,16,6,294,42,26,39,31,56,87,96,42
수뢰,193,53,22,30,36,20,22,0,148,17,24,12,38,47,24,56,20
증뢰,97,33,19,8,24,10,10,0,69,9,12,3,20,23,12,39,7
도박과 복표,1293,2049,510,307,225,162,180,15,1480,209,173,262,249,280,617,647,141
신앙,44,13,2,4,4,4,3,1,63,10,10,24,13,55,33,23,17
기타음란행위,747,207,89,233,88,123,34,8,911,61,54,107,40,52,84,146,55
과실치사상,586,198,100,184,56,73,24,2,655,134,64,79,71,67,107,129,54
업무상 과실치사상,510,284,120,186,71,68,57,20,779,168,133,156,137,203,197,304,92
실화,293,156,70,102,82,38,24,8,697,77,118,138,102,133,117,114,82
명예,6489,2251,1193,1356,646,760,297,65,5842,741,714,906,823,902,1105,1552,412
권리행사방해,2197,767,468,900,396,425,154,45,2875,396,462,649,491,391,588,857,121
신용업무경매,5634,1585,917,1527,569,503,272,41,6075,622,607,667,397,662,775,1295,596
주거침입,2583,823,486,601,267,327,164,37,2822,513,374,463,289,417,572,760,468
비밀침해,32,8,3,8,2,3,2,0,31,1,3,1,5,1,6,7,0
유기,174,22,7,13,4,5,4,0,38,3,5,4,4,6,6,14,3
교통방해,159,52,29,50,23,23,21,8,342,100,61,103,56,106,103,130,22
공무방해,2797,939,706,699,208,379,188,37,2713,493,361,522,263,407,596,1254,364
도주와범인은닉,107,34,23,18,12,25,27,2,110,22,11,32,18,13,36,42,14
위증과 증거인멸,995,276,234,160,130,118,48,6,755,96,82,115,139,117,89,227,42
무고,1433,510,278,243,148,152,78,13,1275,181,160,200,177,213,259,360,72
공안을 해하는죄,11,5,2,3,8,1,1,2,34,1,0,0,1,1,0,4,4
내란의죄,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
음용수에 관한죄,4,1,0,0,0,0,0,0,5,3,0,5,1,1,0,1,0
일수와 수리에 관한죄,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,0,0
기타,19,0,2,1,0,1,0,0,7,2,3,2,0,1,1,6,0
가정폭력 범죄의 처벌등에 관한 특례법,25,2,29,10,17,4,7,3,52,4,9,11,2,2,4,14,2
가축분뇨의 관리 및 이용에 관한법률,3,7,16,5,6,1,1,10,207,28,50,119,103,50,120,103,0
감염병의 예방 및 관리에 관한법률,9,19,1,2,1,0,0,0,26,11,13,2,2,6,11,7,0
개발제한구역의 지정 및 관리에 관한 특별조치법,81,79,6,54,4,16,9,1,671,0,4,1,0,3,12,25,0
개인정보보호법,336,111,52,63,28,32,10,11,256,27,31,42,26,43,37,77,17
건강기능식품에 관한법률,175,40,24,19,5,26,2,1,97,6,19,13,6,2,13,26,1
건설기계관리법,48,27,16,36,7,5,5,6,156,40,24,30,20,16,40,85,0
건설산업기본법,831,55,50,350,17,22,9,8,1600,20,55,52,21,26,37,36,672
건축법,301,206,12,393,47,171,32,6,1543,286,210,435,192,122,241,152,81
게임산업진흥에 관한법률,1355,400,344,361,328,361,184,14,1607,260,192,270,321,276,489,486,95
