범죄분류,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
절도,42362,14628,9272,10149,5018,5905,2181,850,42015,4686,5964,8253,5839,5740,8857,12674,3236
장물,164,236,18,186,9,15,8,3,115,20,16,18,5,9,13,84,6
사기,61178,27083,15389,16958,9079,9583,4411,1359,75697,8340,9472,12212,9892,8345,16205,23797,4593
횡령,17648,4036,2746,4319,1888,1336,457,282,15400,1175,1247,1973,1223,1479,1835,2983,792
배임,1489,478,229,262,233,132,70,20,1051,144,152,249,153,640,185,412,97
손괴,10723,3846,2800,3480,1529,1491,818,221,15556,1837,1917,2537,1495,2186,2992,3739,1301
살인,160,69,42,51,22,23,17,3,170,23,32,46,43,28,39,58,21
강도,157,86,36,60,30,25,14,0,187,26,36,32,28,27,27,53,21
방화,252,97,61,72,42,48,14,2,294,42,55,76,52,63,85,61,29
성폭력,9370,2065,1290,2093,855,1027,335,98,7054,852,827,1053,940,881,1184,1596,509
폭행,34070,11263,7007,12592,5351,4872,2001,381,43012,3998,3917,4684,4912,5240,6498,9688,2429
상해,5079,3748,2441,1814,1153,1052,764,158,7669,1778,1468,2102,1532,1957,2725,4036,830
협박,3950,1504,955,1319,593,684,270,97,5901,657,725,818,553,864,1006,1302,450
공갈,1138,420,191,425,147,168,54,15,1318,175,179,196,196,162,304,387,99
약취와 유인,64,16,2,12,4,5,1,1,85,11,8,9,5,11,6,15,5
체포와 감금,254,64,85,215,65,44,21,1,369,53,58,59,45,48,80,98,32
"폭력행위등(손괴,강요,주거침입등)",163,40,41,52,18,18,11,1,227,45,12,30,37,46,50,43,19
"폭력행위등(단체등의구성, 활동)",27,17,4,2,5,0,1,1,42,2,13,4,44,0,3,3,1
통화,443,29,22,127,12,23,4,4,218,17,11,42,13,9,21,26,5
유가증권·인지·우표,85,15,12,13,5,3,1,1,45,2,2,4,2,1,2,5,2
문서,3468,1132,773,944,604,472,162,46,2932,460,538,584,557,533,585,999,193
인장,125,29,22,43,23,9,5,3,99,20,27,25,15,53,27,36,2
직무유기,325,141,34,121,98,36,6,15,121,59,38,49,67,77,70,86,22
직권남용,595,130,38,197,72,38,14,14,183,83,32,29,82,85,72,82,38
수뢰,174,50,21,21,21,16,5,2,69,20,21,13,29,25,18,31,4
증뢰,63,16,8,15,9,7,1,0,28,10,6,2,8,3,5,7,2
도박과 복표,1087,863,451,509,215,124,144,17,1943,365,194,316,337,264,452,701,104
신앙,124,2,4,0,4,1,2,7,54,19,12,13,20,39,29,22,13
기타음란행위,741,190,127,246,70,104,42,7,837,61,72,77,66,64,92,140,60
과실치사상,706,216,166,207,66,69,35,6,757,153,100,108,70,82,131,201,57
